Tick,RSM1000,NGN,WHEL,GEAR
217,92.83,22.56,29.74,21.29
216,92.29,22.47,29.98,21.07
215,92.23,22.35,29.97,21.02
214,92.2,22.37,29.92,21.02
213,91.76,22.09,30.12,20.76
212,92.18,22.25,29.89,21.0
211,92.75,22.47,29.6,21.28
210,92.22,22.29,29.7,21.01
209,91.66,22.18,29.96,20.65
208,92.24,22.37,29.57,20.93
207,92.95,22.6,29.36,21.37
206,92.87,22.57,29.26,21.4
205,93.21,22.63,29.17,21.59
204,94.36,22.97,28.63,22.23
203,94.74,23.16,28.47,22.4
202,94.42,23.02,28.67,22.11
201,94.32,23.02,28.85,22.1
200,94.34,23.13,28.88,22.12
199,94.54,23.16,28.74,22.28
198,94.43,23.1,28.62,22.19
197,94.12,22.93,28.7,22.03
196,93.97,22.88,28.8,22.07
195,94.61,23.03,28.49,22.38
194,94.79,23.02,28.25,22.5
193,93.58,22.61,28.89,21.78
192,93.84,22.72,28.68,21.99
191,94.26,22.94,28.58,22.26
190,94.72,23.15,28.22,22.54
189,94.24,23.0,28.33,22.18
188,94.4,23.2,28.25,22.36
187,94.25,23.14,28.28,22.24
186,93.57,22.93,28.53,21.84
185,93.66,22.9,28.57,21.85
184,93.15,22.79,28.8,21.57
183,92.57,22.59,29.0,21.27
182,92.26,22.51,29.17,21.04
181,91.32,22.24,29.58,20.43
180,91.15,22.14,29.68,20.38
179,91.26,22.2,29.65,20.4
178,90.54,21.92,29.99,19.98
177,90.22,21.79,30.18,19.84
176,90.5,21.91,30.12,20.09
175,90.96,22.17,30.0,20.35
174,90.37,21.97,30.18,19.97
173,91.04,22.24,29.87,20.29
172,90.17,21.97,30.19,19.77
171,89.92,21.95,30.22,19.61
170,90.19,22.01,30.01,19.73
169,90.41,22.1,29.92,19.83
168,90.15,22.06,30.02,19.76
167,90.61,22.15,29.84,19.99
166,90.87,22.21,29.78,20.06
165,91.39,22.29,29.35,20.31
164,91.53,22.35,29.2,20.42
163,92.05,22.55,28.9,20.67
162,91.78,22.52,29.01,20.53
161,92.42,22.86,28.69,20.91
160,92.28,22.73,28.66,20.69
159,92.25,22.71,28.75,20.7
158,91.99,22.61,28.78,20.51
157,91.87,22.5,28.91,20.46
156,91.92,22.61,28.88,20.51
155,92.17,22.64,28.71,20.61
154,91.73,22.54,28.85,20.42
153,91.47,22.47,28.95,20.26
152,91.31,22.29,29.07,20.13
151,91.71,22.48,28.9,20.28
150,91.44,22.28,28.92,20.12
149,90.78,22.08,29.26,19.72
148,90.47,21.96,29.36,19.55
147,91.43,22.31,28.8,20.17
146,91.41,22.34,28.81,20.25
145,91.61,22.29,28.76,20.39
144,92.49,22.7,28.44,20.92
143,92.69,22.62,28.35,21.0
142,93.64,22.92,27.91,21.59
141,93.38,22.89,27.97,21.47
140,93.13,22.75,28.13,21.44
139,93.28,22.87,28.04,21.47
138,92.94,22.75,28.16,21.39
137,93.56,22.89,27.94,21.77
136,93.08,22.71,28.17,21.55
135,93.2,22.75,28.07,21.65
134,92.62,22.62,28.39,21.31
133,92.19,22.43,28.66,21.1
132,92.11,22.46,28.63,21.05
131,92.02,22.38,28.54,21.03
130,92.18,22.42,28.48,21.07
129,91.49,22.2,28.85,20.73
128,91.33,22.27,28.93,20.6
127,91.33,22.31,28.94,20.6
126,91.5,22.35,28.81,20.71
125,91.8,22.57,28.66,20.89
124,91.6,22.58,28.81,20.72
123,91.13,22.4,28.99,20.39
122,90.93,22.23,29.1,20.29
121,90.78,22.16,29.09,20.25
120,90.64,22.1,29.07,20.13
119,90.79,22.2,29.03,20.22
118,90.16,22.03,29.25,19.91
117,90.56,22.14,29.07,20.18
116,90.52,22.11,29.08,20.16
115,90.33,22.11,29.1,19.95
114,90.69,22.3,28.84,20.06
113,90.66,22.27,28.8,20.01
112,90.67,22.24,28.79,20.0
111,91.12,22.39,28.57,20.27
110,90.88,22.32,28.77,20.15
109,91.21,22.46,28.55,20.38
108,90.87,22.38,28.7,20.18
107,90.92,22.39,28.62,20.28
106,91.74,22.65,28.2,20.83
105,91.42,22.63,28.32,20.62
104,91.38,22.66,28.33,20.71
103,91.99,22.83,28.2,21.03
102,91.84,22.75,28.21,20.96
101,91.26,22.51,28.46,20.62
100,91.39,22.57,28.32,20.77
99,92.09,22.8,28.07,21.16
98,92.81,23.1,27.75,21.61
97,92.77,23.18,27.75,21.63
96,93.16,23.35,27.59,21.88
95,93.81,23.52,27.26,22.22
94,93.55,23.46,27.35,22.09
93,94.22,23.59,26.98,22.54
92,93.62,23.37,27.24,22.13
91,93.63,23.36,27.2,22.07
90,94.37,23.54,26.92,22.46
89,93.72,23.34,27.21,22.06
88,93.58,23.37,27.23,22.02
87,93.63,23.43,27.15,22.19
86,93.53,23.4,27.24,22.03
85,94.01,23.59,27.06,22.21
84,94.21,23.62,26.96,22.29
83,94.49,23.74,26.96,22.45
82,94.85,23.93,26.71,22.77
0,105.31,26.47,23.22,28.62
1,105.21,26.4,23.26,28.54
2,105.25,26.35,23.25,28.69
3,105.12,26.35,23.25,28.63
4,105.2,26.36,23.19,28.65
5,105.66,26.55,22.99,28.92
6,105.71,26.61,22.98,28.9
7,106.27,26.72,22.86,29.33
8,106.11,26.71,22.83,29.2
9,106.16,26.7,22.81,29.23
10,106.39,26.78,22.76,29.49
11,106.14,26.67,22.79,29.42
12,106.92,26.89,22.58,29.96
13,106.76,26.77,22.63,29.91
14,106.91,26.84,22.63,30.02
15,106.71,26.72,22.73,29.88
16,106.69,26.78,22.72,29.79
17,106.95,26.79,22.66,30.0
18,107.0,26.88,22.65,29.99
19,106.43,26.76,22.81,29.58
20,106.06,26.55,22.93,29.43
21,106.09,26.59,23.0,29.49
22,105.67,26.47,23.11,29.3
23,106.03,26.58,23.02,29.51
24,106.21,26.61,22.96,29.56
25,105.15,26.28,23.21,28.84
26,106.11,26.58,22.94,29.47
27,106.78,26.89,22.73,29.93
28,106.47,26.78,22.83,29.82
29,106.27,26.66,22.88,29.7
30,106.67,26.95,22.81,30.03
31,106.56,26.96,22.88,29.91
32,106.39,26.86,22.9,29.85
33,106.47,26.86,22.89,29.85
34,106.29,26.73,23.02,29.76
35,106.27,26.87,23.08,29.79
36,106.62,26.96,22.86,30.15
37,105.69,26.81,23.25,29.55
38,105.79,26.87,23.19,29.68
39,106.12,26.94,23.13,29.95
40,106.35,26.98,23.05,29.92
41,106.38,27.01,23.0,29.89
42,106.23,26.96,23.12,29.71
43,106.37,26.97,23.15,29.83
44,106.89,27.18,23.12,30.18
45,107.56,27.36,22.92,30.59
46,106.91,27.1,23.08,30.15
47,105.91,26.84,23.54,29.4
48,106.06,26.84,23.4,29.36
49,105.41,26.59,23.63,28.93
50,105.61,26.84,23.56,29.2
51,105.85,27.0,23.54,29.23
52,106.71,27.22,23.25,29.72
53,106.83,27.22,23.2,29.72
54,106.95,27.26,23.22,29.86
55,107.02,27.15,23.24,29.87
56,106.93,27.17,23.2,29.92
57,107.05,27.23,23.11,30.0
58,106.82,27.14,23.25,29.87
59,107.43,27.4,22.97,30.32
60,108.57,27.8,22.53,31.13
61,108.45,27.67,22.59,31.12
62,108.73,27.79,22.58,31.36
63,108.56,27.66,22.65,31.32
64,108.17,27.53,22.83,30.95
65,109.48,27.97,22.39,31.77
66,109.89,28.03,22.3,32.18
67,109.25,27.93,22.51,31.82
68,108.97,27.82,22.52,31.71
69,109.4,27.98,22.39,32.1
70,109.19,27.98,22.4,32.04
71,109.34,28.08,22.49,32.35
72,109.07,27.96,22.64,32.16
73,108.28,27.69,22.85,31.6
74,108.33,27.83,22.81,31.59
75,107.63,27.69,22.91,30.99
76,107.41,27.68,22.99,30.76
77,106.91,27.54,23.2,30.4
78,106.34,27.23,23.45,30.02
79,106.77,27.4,23.24,30.28
80,106.9,27.36,23.11,30.49
81,107.04,27.38,22.99,30.66
82,107.61,27.52,22.83,31.02
83,106.97,27.32,23.02,30.58
84,106.63,27.21,23.09,30.24
85,106.61,27.13,23.01,30.27
86,106.68,27.16,22.98,30.31
87,107.61,27.54,22.64,30.87
88,107.46,27.39,22.81,30.63
89,108.26,27.64,22.54,31.06
90,108.01,27.55,22.66,30.77
91,108.25,27.66,22.64,30.84
92,108.19,27.78,22.64,30.87
93,108.29,27.85,22.64,30.96
94,109.14,28.16,22.36,31.53
95,109.26,28.27,22.39,31.61
96,110.37,28.66,22.04,32.38
97,109.66,28.31,22.19,31.79
98,108.8,28.04,22.43,31.15
99,107.96,27.83,22.68,30.58
100,108.15,27.81,22.57,30.74
101,107.54,27.56,22.8,30.3
102,107.33,27.47,22.82,30.08
103,107.1,27.32,22.88,29.93
104,107.67,27.48,22.72,30.34
105,107.34,27.41,22.91,30.09
106,107.59,27.49,22.83,30.32
107,107.73,27.43,22.79,30.55
108,108.58,27.76,22.48,31.32
109,108.41,27.75,22.59,31.24
110,108.93,27.96,22.48,31.53
111,108.38,27.72,22.67,31.07
112,108.01,27.68,22.73,30.91
113,107.85,27.58,22.77,30.77
114,107.59,27.54,22.89,30.67
115,107.02,27.49,23.11,30.25
116,106.84,27.45,23.11,30.08
117,107.52,27.71,22.94,30.44
118,107.42,27.67,23.0,30.4
119,107.43,27.69,23.13,30.27
120,106.99,27.58,23.22,29.97
121,106.8,27.56,23.35,29.78
122,107.71,27.83,23.02,30.56
123,107.43,27.63,23.1,30.36
124,106.87,27.47,23.32,29.84
125,106.68,27.44,23.25,29.75
126,106.62,27.58,23.24,29.7
127,106.45,27.48,23.25,29.51
128,106.02,27.26,23.45,29.33
129,106.12,27.35,23.38,29.45
130,105.92,27.3,23.48,29.24
131,105.01,26.96,23.72,28.63
132,105.21,26.99,23.62,28.68
133,104.67,26.8,23.74,28.36
134,104.34,26.75,23.88,28.28
135,104.69,26.83,23.71,28.29
136,104.33,26.76,23.87,28.02
137,103.99,26.69,24.0,27.74
138,103.73,26.58,24.0,27.58
139,103.46,26.46,24.18,27.41
140,103.14,26.44,24.31,27.22
141,103.63,26.52,24.14,27.6
142,103.01,26.29,24.28,27.25
143,103.72,26.5,23.97,27.79
144,103.77,26.49,23.93,27.83
145,103.67,26.43,23.95,27.72
146,103.84,26.47,23.89,27.86
147,103.81,26.5,24.01,27.88
148,103.23,26.37,24.15,27.38
149,104.18,26.74,23.85,28.04
150,103.98,26.74,23.89,27.99
151,104.03,26.62,23.86,28.01
152,104.17,26.64,23.89,28.15
153,103.79,26.55,24.19,28.12
154,104.47,26.7,23.85,28.6
155,104.88,26.72,23.79,28.87
156,104.43,26.59,23.91,28.55
157,105.18,26.77,23.58,29.03
158,105.48,26.95,23.47,29.26
159,104.8,26.68,23.63,28.68
160,104.7,26.61,23.75,28.61
161,104.18,26.5,24.03,28.4
162,104.71,26.8,23.81,28.92
163,105.39,27.01,23.62,29.46
164,105.19,26.97,23.72,29.39
165,104.73,26.88,23.95,28.95
166,105.84,27.34,23.62,29.67
167,106.97,27.66,23.29,30.38
168,106.77,27.66,23.38,30.37
169,106.9,27.72,23.29,30.33
170,106.44,27.59,23.42,30.09
171,106.34,27.57,23.35,30.15
172,106.3,27.56,23.33,30.09
173,106.66,27.69,23.35,30.34
174,106.43,27.6,23.38,30.2
175,106.37,27.51,23.32,30.18
176,106.39,27.47,23.35,30.24
177,105.55,27.17,23.62,29.68
178,105.52,27.15,23.67,29.7
179,106.17,27.43,23.41,30.04
180,105.75,27.31,23.59,29.67
181,105.8,27.41,23.58,29.53
182,105.76,27.49,23.6,29.54
183,105.64,27.41,23.6,29.56
184,105.62,27.39,23.6,29.65
185,105.0,27.11,23.83,29.1
186,103.9,26.86,24.28,28.34
187,103.55,26.73,24.38,28.11
188,103.02,26.57,24.66,27.8
189,103.67,26.9,24.49,28.23
190,103.11,26.73,24.68,27.92
191,103.49,26.87,24.56,28.22
192,103.62,26.94,24.37,28.37
193,103.43,26.91,24.51,28.2
194,102.67,26.59,24.8,27.74
195,102.49,26.43,24.78,27.57
196,102.27,26.39,24.96,27.43
197,101.94,26.31,25.01,27.12
198,102.72,26.58,24.65,27.62
199,102.17,26.25,24.87,27.19
200,101.08,25.92,25.15,26.53
201,101.81,26.22,24.85,26.98
202,101.04,25.98,25.08,26.37
203,100.77,25.9,25.17,26.22
204,101.3,26.02,25.01,26.59
205,101.13,26.0,25.0,26.5
206,101.49,26.1,24.82,26.78
207,100.92,25.88,25.02,26.29
208,100.91,25.99,25.01,26.29
209,100.66,25.89,25.08,26.02
210,100.09,25.64,25.37,25.56
211,100.08,25.54,25.29,25.56
212,100.86,25.74,24.92,26.07
213,101.06,25.78,24.94,26.17
214,100.95,25.63,25.02,26.11
215,100.92,25.5,24.92,26.03
216,100.11,25.17,25.21,25.56
217,99.55,25.02,25.42,25.24
218,99.7,25.08,25.3,25.42
219,100.2,25.32,25.09,25.78
220,99.91,25.33,25.17,25.57
221,100.35,25.44,24.91,25.81
222,99.99,25.41,25.18,25.55
223,100.32,25.53,25.04,25.73
224,99.74,25.35,25.16,25.33
225,99.93,25.38,25.07,25.43
226,99.78,25.34,25.18,25.39
227,100.12,25.39,25.08,25.63
228,100.58,25.55,24.86,25.96
229,99.88,25.32,25.1,25.58
230,100.37,25.55,24.84,25.82
231,100.59,25.54,24.75,25.96
232,100.61,25.54,24.74,25.93
233,101.26,25.79,24.49,26.33
234,101.07,25.8,24.66,26.09
235,101.18,25.91,24.68,26.14
236,101.87,26.14,24.44,26.64
237,102.3,26.35,24.24,26.89
238,101.94,26.15,24.48,26.53
239,100.73,25.75,24.83,25.71
240,100.79,25.74,24.88,25.72
241,100.44,25.68,24.99,25.52
242,100.68,25.73,24.79,25.59
243,101.1,25.91,24.65,25.84
244,101.35,26.13,24.5,25.97
245,102.2,26.41,24.07,26.5
246,102.96,26.76,23.76,27.03
247,102.57,26.56,23.91,26.81
248,102.6,26.6,23.94,26.87
249,103.05,26.67,23.91,27.19
250,102.62,26.44,24.01,26.86
251,102.48,26.44,24.12,26.77
252,102.52,26.43,24.12,26.77
253,102.89,26.48,24.03,27.11
254,103.05,26.64,23.87,27.22
255,102.48,26.41,24.07,26.83
256,102.8,26.47,24.02,27.15
257,102.7,26.45,24.03,27.11
258,103.2,26.62,23.76,27.36
259,103.16,26.51,23.86,27.35
260,103.2,26.49,23.87,27.37
261,101.9,25.91,24.35,26.46
262,102.41,26.06,24.17,26.8
263,102.02,26.0,24.28,26.58
264,101.49,25.96,24.42,26.29
265,101.26,25.97,24.48,26.27
266,101.5,26.06,24.33,26.59
267,101.69,26.2,24.28,26.73
268,101.9,26.25,24.18,26.85
269,101.65,26.26,24.22,26.65
270,101.02,25.94,24.52,26.13
271,101.1,25.88,24.49,26.15
272,100.91,25.74,24.56,26.06
273,101.18,25.79,24.5,26.26
274,101.19,25.88,24.45,26.25
275,101.35,25.85,24.39,26.24
276,101.91,25.97,24.19,26.56
277,101.75,25.92,24.17,26.61
278,101.21,25.76,24.29,26.29
279,100.76,25.57,24.53,25.96
280,100.59,25.58,24.65,25.95
281,100.35,25.47,24.71,25.83
282,100.52,25.47,24.64,25.9
283,100.1,25.29,24.82,25.55
284,99.8,25.14,24.95,25.32
285,100.3,25.28,24.79,25.62
286,100.75,25.52,24.6,25.94
287,100.55,25.57,24.67,25.82
288,100.42,25.6,24.7,25.67
289,99.95,25.35,24.79,25.3
290,99.31,25.13,25.01,24.98
291,100.17,25.42,24.71,25.54
292,99.92,25.3,24.81,25.35
293,99.89,25.27,24.81,25.21
294,99.73,25.12,24.93,25.12
295,99.75,25.17,24.89,25.12
296,99.88,25.21,24.81,25.09
297,99.6,25.1,24.93,24.9
298,99.62,25.07,24.97,24.91
299,99.9,25.1,24.98,24.93
300,100.0,25.0,25.0,25.0
